Disease	Symptom_1	Symptom_2	Symptom_3	Symptom_4	Symptom_5	Symptom_6	Symptom_7	Symptom_8	Symptom_9	Symptom_10	Symptom_11	Symptom_12	Symptom_13	Symptom_14	Symptom_15	Symptom_16	Symptom_17
Allergy	 continuous_sneezing	 chills	 watering_from_eyes														
Paralysis (brain hemorrhage)	 vomiting	 weakness_of_one_body_side	 altered_sensorium														
Drug Reaction	itching	 skin_rash	 stomach_pain	 burning_micturition	 spotting_ urination												
Fungal infection	itching	 skin_rash	 nodal_skin_eruptions														
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 dark_urine	 abdominal_pain										
Drug Reaction	itching	 skin_rash	 stomach_pain	 burning_micturition	 spotting_ urination												
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
Chicken pox	itching	 skin_rash	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body						
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding					
Hepatitis C	 fatigue	 yellowish_skin	 nausea	 loss_of_appetite	 yellowing_of_eyes	 family_history											
Varicose veins	 fatigue	 cramps	 bruising	 obesity	 swollen_legs	 swollen_blood_vessels	 prominent_veins_on_calf										
Gastroenteritis	 vomiting	 dehydration	 diarrhoea														
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 depression	 irritability	 visual_disturbances									
Hepatitis C	 fatigue	 yellowish_skin	 nausea	 loss_of_appetite	 family_history												
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Dimorphic hemmorhoids(piles)	 constipation	 pain_in_anal_region	 bloody_stool	 irritation_in_anus													
Pneumonia	 chills	 fatigue	 cough	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum						
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding				
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Arthritis	 stiff_neck	 swelling_joints	 movement_stiffness	 painful_walking													
AIDS	 muscle_wasting	 patches_in_throat	 high_fever	 extra_marital_contacts													
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
Hypothyroidism	 fatigue	 weight_gain	 mood_swings	 lethargy	 dizziness	 puffy_face_and_eyes	 enlarged_thyroid	 brittle_nails	 swollen_extremeties	 depression	 irritability	 abnormal_menstruation					
